"ft_black_2016","ft_white_2016","ft_hisp_2016","ft_asian_2016","ft_muslim_2016","ft_jew_2016","ft_christ_2016","ft_fem_2016","ft_immig_2016","ft_blm_2016","ft_wallst_2016","ft_gays_2016","ft_unions_2016","ft_police_2016","ft_altright_2016","ImmFactor"
"103",75,51,63,78,75,67,54,53,66,52,19,64,61,28,NA,"lightly favorable"
"104",72,84,71,75,25,77,94,78,29,50,53,65,39,93,52,"unfavorable"
"105",50,50,56,50,50,50,75,30,75,40,30,40,21,90,30,"lightly favorable"
"106",78,100,80,93,0,80,100,43,51,0,50,3,32,100,76,"lightly favorable"
"107",50,11,50,51,51,51,4,50,50,51,29,50,98,50,0,"unfavorable"
"108",99,78,100,69,51,99,51,100,100,100,0,100,80,50,0,"favorable"
"109",88,69,87,79,85,89,28,99,84,93,7,96,94,62,0,"favorable"
"110",41,50,45,50,1,50,50,0,41,1,17,11,0,91,NA,"unfavorable"
"111",90,76,80,81,81,90,50,80,81,81,5,91,60,75,NA,"favorable"
"112",64,51,56,51,54,55,56,57,60,69,2,65,57,27,1,"lightly favorable"
"113",51,99,30,88,33,82,99,94,34,14,29,90,82,97,54,"unfavorable"
"114",NA,49,77,54,56,98,68,85,86,72,NA,94,76,63,0,"favorable"
"115",NA,100,100,80,NA,100,100,NA,60,NA,NA,NA,NA,100,NA,"lightly favorable"
"116",66,89,95,51,50,88,91,5,65,NA,31,100,32,74,10,"lightly favorable"
"117",45,75,75,50,5,50,75,75,40,10,50,50,25,75,25,"unfavorable"
"118",52,64,47,63,38,84,24,27,56,0,51,62,3,44,1,"lightly favorable"
"119",36,49,49,47,27,65,63,6,31,30,59,14,10,90,NA,"unfavorable"
"120",80,51,80,82,54,66,26,90,80,60,NA,96,70,31,0,"favorable"
"121",100,100,100,100,100,100,100,75,83,34,44,98,47,100,28,"favorable"
"122",100,99,100,100,100,100,42,88,98,93,8,100,73,100,0,"favorable"
"123",30,80,100,80,100,100,50,100,100,1,1,95,99,90,1,"favorable"
"124",84,48,39,75,81,70,52,52,98,51,2,76,70,3,1,"favorable"
"125",80,100,90,100,3,100,100,0,75,0,100,50,1,100,100,"lightly favorable"
"126",99,100,99,100,24,99,100,33,NA,8,72,55,16,90,14,NA
"127",96,97,99,100,96,97,93,100,100,90,7,100,100,80,3,"favorable"
"128",71,90,81,51,61,47,9,50,68,76,2,100,99,50,1,"lightly favorable"
"129",98,97,97,97,97,98,99,36,97,1,97,97,13,95,6,"favorable"
"130",75,75,75,75,60,75,75,60,75,30,25,75,65,80,0,"lightly favorable"
"131",51,50,50,50,66,70,70,61,61,40,21,50,40,46,0,"lightly favorable"
"132",60,NA,75,70,42,90,100,1,50,1,50,13,45,100,9,"unfavorable"
"133",63,75,74,72,76,99,78,50,74,25,5,74,99,100,8,"lightly favorable"
"134",97,89,93,90,97,98,89,100,98,87,17,100,81,85,0,"favorable"
"135",91,90,100,94,72,99,27,59,95,67,NA,100,50,81,NA,"favorable"
"136",89,91,94,96,31,99,99,34,75,1,69,79,21,100,17,"lightly favorable"
"137",79,75,76,78,52,77,75,28,53,6,52,78,11,74,53,"lightly favorable"
